system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
97431129B55805139245338_0,97431129B55805139245338,1,Gilbert Islands,0,0,0,0,0,0,0,0,0,KIR,0,0,0,0,31837.248046875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
97431129B55805139245338_1,97431129B55805139245338,1,Gilbert Islands,0,0,0,0,0,0,0,0,0,KIR,0,0,0,0,32588.3125,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
97431129B55805139245338_2,97431129B55805139245338,1,Gilbert Islands,0,0,0,0,0,0,0,0,0,KIR,0,0,0,0,32588.3125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
97431129B55805139245338_3,97431129B55805139245338,1,Gilbert Islands,0,0,0,0,0,0,0,0,0,KIR,0,0,0,0,32588.3125,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
97431129B36644055464690_0,97431129B36644055464690,1,Phoenix Islands,0,0,0,0,0,0,0,0,0,KIR,0,0,0,0,30616.16796875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
97431129B36644055464690_1,97431129B36644055464690,1,Phoenix Islands,0,0,0,0,0,0,0,0,0,KIR,0,0,0,0,69978.7265625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
97431129B36644055464690_2,97431129B36644055464690,1,Phoenix Islands,0,0,0,0,0,0,0,0,0,KIR,0,0,0,0,69978.7265625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
97431129B36644055464690_3,97431129B36644055464690,1,Phoenix Islands,0,0,0,0,0,0,0,0,0,KIR,0,0,0,0,69978.7265625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
97431129B35506555718846_0,97431129B35506555718846,1,Line Islands,0,0,0,0,0,0,0,0,0,KIR,0,0,0,0,7467.87109375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
97431129B35506555718846_1,97431129B35506555718846,1,Line Islands,0,0,0,0,0,0,0,0,0,KIR,0,0,0,0,9640.42578125,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
97431129B35506555718846_2,97431129B35506555718846,1,Line Islands,0,0,0,0,0,0,0,0,0,KIR,0,0,0,0,9640.42578125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
97431129B35506555718846_3,97431129B35506555718846,1,Line Islands,0,0,0,0,0,0,0,0,0,KIR,0,0,0,0,9640.42578125,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
